event_id,timestamp,event_type,organization_id,target_id,severity,description,month
EVT-00001,2024-02-01T00:00:00,organization_exit,MFG-00126,,medium,MFG-00126 became inactive in 2024-02,2024-02
EVT-00002,2024-02-01T00:00:00,organization_exit,RET-00003,,medium,RET-00003 became inactive in 2024-02,2024-02
EVT-00003,2024-02-01T00:00:00,organization_exit,WHS-00029,,medium,WHS-00029 became inactive in 2024-02,2024-02
EVT-00004,2024-02-01T00:00:00,organization_exit,DST-00034,,medium,DST-00034 became inactive in 2024-02,2024-02
EVT-00005,2024-02-01T00:00:00,organization_exit,WHS-00028,,medium,WHS-00028 became inactive in 2024-02,2024-02
EVT-00006,2024-02-01T00:00:00,organization_exit,LOG-00009,,medium,LOG-00009 became inactive in 2024-02,2024-02
EVT-00007,2024-02-01T00:00:00,organization_exit,MFG-00121,,medium,MFG-00121 became inactive in 2024-02,2024-02
EVT-00008,2024-02-01T00:00:00,organization_exit,SUP-00278,,medium,SUP-00278 became inactive in 2024-02,2024-02
EVT-00009,2024-02-01T00:00:00,organization_exit,MFG-00135,,medium,MFG-00135 became inactive in 2024-02,2024-02
EVT-00010,2024-02-01T00:00:00,organization_exit,WHS-00040,,medium,WHS-00040 became inactive in 2024-02,2024-02
EVT-00011,2024-03-01T00:00:00,organization_exit,WHS-00081,,medium,WHS-00081 became inactive in 2024-03,2024-03
EVT-00012,2024-03-01T00:00:00,organization_exit,RET-00104,,medium,RET-00104 became inactive in 2024-03,2024-03
EVT-00013,2024-03-01T00:00:00,organization_exit,MFG-00008,,medium,MFG-00008 became inactive in 2024-03,2024-03
EVT-00014,2024-03-01T00:00:00,organization_exit,DST-00153,,medium,DST-00153 became inactive in 2024-03,2024-03
EVT-00015,2024-03-01T00:00:00,organization_exit,SUP-00121,,medium,SUP-00121 became inactive in 2024-03,2024-03
EVT-00016,2024-03-01T00:00:00,organization_exit,DST-00104,,medium,DST-00104 became inactive in 2024-03,2024-03
EVT-00017,2024-03-01T00:00:00,organization_exit,SUP-00184,,medium,SUP-00184 became inactive in 2024-03,2024-03
EVT-00018,2024-03-01T00:00:00,organization_exit,SUP-00197,,medium,SUP-00197 became inactive in 2024-03,2024-03
EVT-00019,2024-03-01T00:00:00,organization_exit,RET-00080,,medium,RET-00080 became inactive in 2024-03,2024-03
EVT-00020,2024-03-01T00:00:00,organization_exit,RET-00025,,medium,RET-00025 became inactive in 2024-03,2024-03
EVT-00021,2024-04-01T00:00:00,organization_exit,SUP-00270,,medium,SUP-00270 became inactive in 2024-04,2024-04
EVT-00022,2024-04-01T00:00:00,organization_exit,RET-00119,,medium,RET-00119 became inactive in 2024-04,2024-04
EVT-00023,2024-04-01T00:00:00,organization_exit,RET-00007,,medium,RET-00007 became inactive in 2024-04,2024-04
EVT-00024,2024-04-01T00:00:00,organization_exit,RET-00001,,medium,RET-00001 became inactive in 2024-04,2024-04
EVT-00025,2024-04-01T00:00:00,organization_exit,SUP-00005,,medium,SUP-00005 became inactive in 2024-04,2024-04
EVT-00026,2024-04-01T00:00:00,organization_exit,RET-00117,,medium,RET-00117 became inactive in 2024-04,2024-04
EVT-00027,2024-04-01T00:00:00,organization_exit,LOG-00035,,medium,LOG-00035 became inactive in 2024-04,2024-04
EVT-00028,2024-04-01T00:00:00,organization_exit,DST-00163,,medium,DST-00163 became inactive in 2024-04,2024-04
EVT-00029,2024-04-01T00:00:00,organization_exit,SUP-00114,,medium,SUP-00114 became inactive in 2024-04,2024-04
EVT-00030,2024-04-01T00:00:00,organization_exit,SUP-00222,,medium,SUP-00222 became inactive in 2024-04,2024-04
EVT-00031,2024-05-01T00:00:00,organization_exit,MFG-00116,,medium,MFG-00116 became inactive in 2024-05,2024-05
EVT-00032,2024-05-01T00:00:00,organization_exit,SUP-00181,,medium,SUP-00181 became inactive in 2024-05,2024-05
