organization_id,organization_name,organization_type,region,industry,size_category,status,created_at
DST-00072,Holmes-Mcintyre,distributor,East,Automotive,Enterprise,active,2024-01-01
WHS-00088,Gray-Tran,warehouse,South,Chemicals,Large,active,2024-01-01
WHS-00091,"Mueller, Knight and Hodge",warehouse,East,Automotive,Enterprise,active,2024-01-01
WHS-00011,Foster Inc,warehouse,East,Food_Beverage,Medium,active,2024-01-01
MFG-00112,Graham Group,manufacturer,South,Textiles,Large,active,2024-01-01
WHS-00029,Wheeler Group,warehouse,West,Automotive,Small,active,2024-01-01
DST-00177,Lopez-Curry,distributor,North,Pharmaceuticals,Medium,active,2024-01-01
DST-00064,Cisneros and Sons,distributor,West,Textiles,Medium,active,2024-01-01
RET-00010,"Martinez, Cline and Wright",retailer,South,Electronics,Small,active,2024-01-01
SUP-00137,"Lewis, Kennedy and Santana",supplier,South,Pharmaceuticals,Enterprise,active,2024-01-01
LOG-00062,"Wilson, Sweeney and Wong",logistics_provider,North,Automotive,Enterprise,active,2024-01-01
SUP-00077,"Woods, Calhoun and Schmidt",supplier,West,Food_Beverage,Small,active,2024-01-01
DST-00187,Wilcox-Robertson,distributor,South,Textiles,Medium,active,2024-01-01
RET-00124,Crane Group,retailer,Central,Food_Beverage,Enterprise,active,2024-01-01
RET-00089,"Flores, Mckenzie and Duncan",retailer,East,Food_Beverage,Small,active,2024-01-01
RET-00050,Wright Ltd,retailer,North,Electronics,Small,active,2024-01-01
SUP-00281,Garner-Thornton,supplier,East,Chemicals,Medium,active,2024-01-01
RET-00034,Rios-Padilla,retailer,South,Electronics,Large,active,2024-01-01
LOG-00012,"Moore, Price and Ward",logistics_provider,East,Textiles,Medium,active,2024-01-01
MFG-00020,"Shaw, Nelson and Martin",manufacturer,North,Automotive,Enterprise,active,2024-01-01
DST-00100,Miller Ltd,distributor,West,Automotive,Small,active,2024-01-01
SUP-00175,Ramirez-Bean,supplier,North,Textiles,Medium,active,2024-01-01
MFG-00072,Davis Inc,manufacturer,West,Pharmaceuticals,Medium,active,2024-01-01
DST-00078,Contreras-Mckinney,distributor,South,Pharmaceuticals,Large,active,2024-01-01
SUP-00211,"Pierce, Bell and Chavez",supplier,South,Electronics,Medium,active,2024-01-01
SUP-00236,"Harrison, Johnson and Roberts",supplier,South,Automotive,Large,active,2024-01-01
SUP-00102,"Patterson, Smith and Jones",supplier,South,Automotive,Enterprise,active,2024-01-01
RET-00137,Gomez and Sons,retailer,Central,Electronics,Medium,active,2024-01-01
RET-00053,Abbott Ltd,retailer,West,Electronics,Large,active,2024-01-01
