node,in_degree,out_degree,total_degree,in_degree_centrality,out_degree_centrality,betweenness,closeness,eigenvector,pagerank,total_degree_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,bridge_without_hub
MFG-00131,19,55,74,0.01901901901901902,0.055055055055055056,0.019171092181559428,0.242457695139622,0.01203008725816219,0.0008466037001889893,1,1,262,417,466,0
MFG-00028,10,53,63,0.01001001001001001,0.05305305305305305,0.0062595905325689115,0.2035198375892382,0.017023687109073798,0.000982259212283398,2,36,488,370,414,-34
MFG-00141,4,58,62,0.004004004004004004,0.058058058058058054,0.0010344464025157027,0.005338672005338671,1.273604905114304e-46,0.0005577691901642809,3,338,599,576,572,-335
WHS-00080,37,11,48,0.037037037037037035,0.011011011011011011,0.006492696373334007,0.2767838040848961,0.041853568920542844,0.0024509241006422716,4,30,18,186,41,-26
DST-00116,10,35,45,0.01001001001001001,0.035035035035035036,0.007758401664414546,0.242540558330032,0.05676934183511099,0.0017546134197800314,5,17,261,108,169,-12
WHS-00025,34,11,45,0.03403403403403403,0.011011011011011011,0.008876958390114058,0.2791792579361423,0.07602966284470952,0.002771544147926181,5,11,15,42,17,-6
WHS-00026,33,11,44,0.03303303303303303,0.011011011011011011,0.012138849779371155,0.25787560816630584,0.046192863305977265,0.002626420622385037,7,4,127,163,24,3
WHS-00031,37,7,44,0.037037037037037035,0.007007007007007007,0.0069855121412233465,0.26953044955323724,0.06887930336784254,0.002424531475096501,7,26,45,56,45,-19
WHS-00038,30,14,44,0.03003003003003003,0.014014014014014014,0.007912959813752809,0.2673977670209773,0.05308537883693027,0.0022722073899983358,7,15,57,121,66,-8
DST-00147,7,36,43,0.007007007007007007,0.036036036036036036,0.008797860901686667,0.23790602536831165,0.03569513176233116,0.0015979597718115825,10,12,298,227,206,-2
WHS-00088,30,12,42,0.03003003003003003,0.012012012012012012,0.008279613817687735,0.261293694283385,0.032827915775639746,0.001947936607345862,11,13,99,252,130,-2
WHS-00068,22,19,41,0.022022022022022022,0.01901901901901902,0.012974134878709711,0.25938365265850644,0.0477231076843624,0.0022189006162273354,12,3,114,156,77,9
WHS-00020,35,6,41,0.035035035035035036,0.006006006006006006,0.009281148942724093,0.2678013862919523,0.0887597711305382,0.0029644716217493033,12,9,55,17,12,3
WHS-00012,26,15,41,0.026026026026026026,0.015015015015015015,0.01822921494071153,0.26510036371821954,0.05222256160251802,0.00235530308234929,12,2,71,126,50,10
WHS-00050,28,13,41,0.028028028028028028,0.013013013013013013,0.006880585516899116,0.2597634237458542,0.04866473632250273,0.0022529955315870225,12,27,110,146,70,-15
WHS-00002,32,8,40,0.03203203203203203,0.008008008008008008,0.007829255668772772,0.26255037871760034,0.07225796878493133,0.0035497280443539895,16,16,89,50,3,0
WHS-00095,36,3,39,0.036036036036036036,0.003003003003003003,0.005165943806812884,0.2802818616404714,0.08734659223619953,0.003135227203606837,17,54,10,21,10,-37
WHS-00075,29,10,39,0.029029029029029027,0.01001001001001001,0.009133398605618275,0.2633297490440348,0.0661508625130553,0.0022993242981191662,17,10,84,68,61,7
WHS-00005,30,8,38,0.03003003003003003,0.008008008008008008,0.004386265287073354,0.2519253367673673,0.050639150380513004,0.0021061226172783745,19,89,182,137,90,-70
MFG-00062,20,18,38,0.02002002002002002,0.018018018018018018,0.005091615395336133,0.21564073949367174,0.0069289496292515304,0.0019987757875967464,19,57,448,475,120,-38
WHS-00035,31,7,38,0.031031031031031032,0.007007007007007007,0.006053016976289847,0.26255037871760034,0.030420040891182287,0.0020121944959415245,19,41,89,267,116,-22
WHS-00064,26,12,38,0.026026026026026026,0.012012012012012012,0.009541436820205687,0.27169742483678166,0.07461662350201423,0.0031641223937042408,19,7,35,46,9,12
WHS-00087,27,11,38,0.02702702702702703,0.011011011011011011,0.00772417602788424,0.2637211719337323,0.05117171687209115,0.0022483625602580768,19,18,79,134,73,1
WHS-00091,29,9,38,0.029029029029029027,0.009009009009009009,0.007589978812024483,0.2638192095441166,0.05912884199029071,0.0022078387412593345,19,22,78,93,78,-3
WHS-00049,32,5,37,0.03203203203203203,0.005005005005005005,0.003911853258597108,0.273371985236392,0.06299454268262755,0.002477224717110271,25,101,28,78,38,-76
WHS-00059,31,6,37,0.031031031031031032,0.006006006006006006,0.0027388867638184246,0.26810490127452724,0.052241679437958585,0.0025760218887758675,25,167,52,124,28,-142
WHS-00024,27,10,37,0.02702702702702703,0.01001001001001001,0.0076029425122587,0.26255037871760034,0.05569515433134374,0.00211146965487641,25,21,89,111,88,4
WHS-00073,28,9,37,0.028028028028028028,0.009009009009009009,0.006676833429350067,0.2550947784592644,0.04340470744112939,0.0023017848803746914,25,29,151,171,60,-4
WHS-00066,23,14,37,0.023023023023023025,0.014014014014014014,0.004697106138385839,0.2490083065521662,0.0639019441453069,0.0020586365890918334,25,73,209,75,103,-48
WHS-00053,33,4,37,0.03303303303303303,0.004004004004004004,0.004782267826307994,0.2837559670826364,0.08480879900102889,0.0024322592288500656,25,68,6,22,43,-43
