node,community_id
RET-00078,0
MFG-00139,0
RET-00130,0
DST-00089,0
LOG-00092,0
LOG-00094,0
WHS-00043,0
RET-00105,0
RET-00036,0
SUP-00079,0
WHS-00060,0
RET-00079,0
WHS-00092,0
SUP-00139,0
WHS-00050,0
MFG-00140,0
LOG-00065,0
RET-00146,0
DST-00200,0
DST-00138,0
MFG-00064,0
DST-00081,0
RET-00074,0
SUP-00237,0
DST-00199,0
SUP-00145,0
RET-00020,0
LOG-00070,0
DST-00193,0
MFG-00061,0
WHS-00018,0
MFG-00066,0
DST-00094,0
SUP-00205,0
RET-00127,0
DST-00149,0
DST-00032,0
MFG-00047,0
DST-00195,0
WHS-00054,0
LOG-00008,0
DST-00072,0
DST-00142,0
SUP-00184,0
SUP-00231,0
DST-00059,0
DST-00117,0
LOG-00082,0
DST-00162,0
SUP-00022,0
MFG-00122,1
MFG-00149,1
SUP-00196,1
DST-00065,1
DST-00036,1
SUP-00033,1
SUP-00177,1
DST-00056,1
RET-00102,1
RET-00045,1
RET-00145,1
MFG-00096,1
SUP-00057,1
DST-00083,1
MFG-00043,1
RET-00042,1
RET-00143,1
DST-00124,1
LOG-00046,1
SUP-00142,1
LOG-00088,1
SUP-00159,1
SUP-00133,1
SUP-00165,1
RET-00009,1
MFG-00148,1
LOG-00057,1
WHS-00088,1
SUP-00071,1
SUP-00248,1
SUP-00197,1
MFG-00146,1
RET-00076,1
SUP-00014,1
MFG-00072,1
DST-00165,1
SUP-00153,1
SUP-00092,1
RET-00035,1
MFG-00042,1
WHS-00064,1
RET-00026,1
SUP-00187,1
WHS-00019,1
DST-00092,1
DST-00179,1
DST-00031,1
SUP-00050,1
LOG-00074,1
SUP-00053,1
RET-00071,1
WHS-00087,1
RET-00055,1
MFG-00010,1
LOG-00020,1
DST-00148,1
DST-00107,1
MFG-00109,1
RET-00065,1
DST-00048,1
DST-00015,1
SUP-00109,1
LOG-00073,1
WHS-00040,1
SUP-00019,1
SUP-00183,1
SUP-00297,1
WHS-00036,1
MFG-00065,1
SUP-00054,1
SUP-00042,1
WHS-00011,1
MFG-00095,1
SUP-00002,1
DST-00053,1
SUP-00232,1
SUP-00293,1
LOG-00034,1
SUP-00288,1
MFG-00060,1
DST-00172,1
MFG-00090,1
DST-00097,1
DST-00115,1
RET-00103,1
RET-00137,1
RET-00004,1
SUP-00108,1
DST-00063,1
LOG-00028,1
WHS-00008,2
WHS-00010,2
MFG-00040,2
WHS-00020,2
DST-00143,2
SUP-00075,2
SUP-00087,2
MFG-00076,2
RET-00029,2
SUP-00212,2
MFG-00035,2
DST-00080,2
DST-00137,2
WHS-00093,2
RET-00104,2
WHS-00055,2
LOG-00002,2
MFG-00107,2
SUP-00206,2
MFG-00083,2
LOG-00061,2
LOG-00017,2
RET-00119,2
DST-00054,2
SUP-00016,2
RET-00014,2
MFG-00033,2
SUP-00210,2
MFG-00068,2
DST-00104,2
DST-00042,2
WHS-00091,2
SUP-00140,2
DST-00079,2
RET-00106,2
RET-00018,2
LOG-00044,2
SUP-00018,2
DST-00098,2
LOG-00069,2
SUP-00163,2
LOG-00004,2
DST-00112,2
LOG-00047,2
SUP-00176,2
SUP-00225,2
RET-00080,2
WHS-00029,2
LOG-00081,2
SUP-00209,2
LOG-00087,2
DST-00007,2
MFG-00041,2
RET-00053,2
SUP-00117,2
DST-00091,2
LOG-00050,2
LOG-00032,2
DST-00175,2
MFG-00022,2
SUP-00178,2
SUP-00023,2
DST-00154,2
SUP-00021,2
WHS-00024,2
WHS-00099,2
DST-00029,2
SUP-00284,3
DST-00099,3
RET-00011,3
RET-00095,3
DST-00167,3
MFG-00004,3
SUP-00227,3
SUP-00152,3
DST-00046,3
LOG-00027,3
LOG-00029,3
SUP-00174,3
SUP-00041,3
WHS-00098,3
MFG-00087,3
SUP-00005,3
LOG-00084,3
MFG-00133,3
DST-00174,3
WHS-00045,3
DST-00170,3
MFG-00048,3
WHS-00013,3
LOG-00006,3
RET-00123,3
SUP-00260,3
SUP-00155,3
SUP-00090,3
SUP-00132,3
DST-00191,3
SUP-00283,3
WHS-00053,3
DST-00116,3
SUP-00067,3
RET-00121,3
SUP-00060,3
LOG-00026,3
SUP-00093,3
SUP-00123,3
SUP-00080,3
SUP-00272,3
SUP-00181,3
DST-00113,3
WHS-00084,3
SUP-00160,3
SUP-00294,3
SUP-00040,3
SUP-00027,3
