node,core_number
MFG-00136,10
DST-00072,10
WHS-00088,10
WHS-00091,10
WHS-00011,10
MFG-00112,10
WHS-00029,10
WHS-00014,10
WHS-00012,10
MFG-00009,10
MFG-00044,10
DST-00042,10
MFG-00114,10
MFG-00086,10
DST-00010,10
RET-00052,10
DST-00135,10
WHS-00038,10
MFG-00071,10
DST-00050,10
DST-00172,10
SUP-00140,10
MFG-00047,10
RET-00098,10
RET-00137,10
SUP-00236,10
DST-00078,10
SUP-00024,10
DST-00129,10
SUP-00262,10
RET-00030,10
DST-00121,10
MFG-00140,10
DST-00152,10
RET-00125,10
MFG-00013,10
MFG-00029,10
MFG-00014,10
WHS-00098,10
DST-00111,10
DST-00025,10
SUP-00059,10
DST-00061,10
WHS-00032,10
DST-00026,10
WHS-00050,10
WHS-00037,10
DST-00094,10
RET-00017,10
WHS-00013,10
WHS-00043,10
DST-00155,10
DST-00093,10
SUP-00011,10
DST-00168,10
SUP-00031,10
RET-00149,10
DST-00099,10
MFG-00019,10
SUP-00068,10
WHS-00030,10
MFG-00008,10
DST-00140,10
WHS-00003,10
SUP-00290,10
SUP-00293,10
WHS-00092,10
DST-00141,10
DST-00044,10
RET-00026,10
DST-00117,10
SUP-00244,10
DST-00055,10
RET-00131,10
DST-00035,10
RET-00143,10
LOG-00091,10
MFG-00088,10
DST-00151,10
MFG-00016,10
MFG-00052,10
WHS-00067,10
SUP-00089,10
MFG-00137,10
DST-00073,10
DST-00002,10
MFG-00083,10
MFG-00028,10
WHS-00065,10
RET-00129,10
MFG-00133,10
RET-00136,10
DST-00079,10
RET-00068,10
SUP-00169,10
DST-00105,10
DST-00195,10
DST-00186,10
SUP-00257,10
SUP-00242,10
MFG-00046,10
DST-00115,10
RET-00048,10
MFG-00040,10
MFG-00067,10
DST-00005,10
MFG-00128,10
DST-00059,10
SUP-00035,10
DST-00080,10
RET-00146,10
DST-00150,10
MFG-00146,10
DST-00134,10
SUP-00261,10
WHS-00064,10
RET-00043,10
DST-00112,10
RET-00133,10
RET-00088,10
SUP-00002,10
DST-00116,10
SUP-00106,10
DST-00027,10
WHS-00053,10
MFG-00102,10
WHS-00080,10
DST-00106,10
SUP-00162,10
SUP-00202,10
DST-00194,10
MFG-00022,10
RET-00065,10
RET-00044,10
WHS-00072,10
SUP-00073,10
SUP-00056,10
WHS-00019,10
WHS-00001,10
DST-00200,10
RET-00035,10
WHS-00048,10
MFG-00010,10
DST-00013,10
RET-00092,10
MFG-00130,10
RET-00013,10
DST-00006,10
DST-00012,10
WHS-00077,10
WHS-00052,10
WHS-00075,10
WHS-00070,10
WHS-00099,10
MFG-00038,10
RET-00029,10
MFG-00078,10
WHS-00021,10
DST-00045,10
WHS-00028,10
MFG-00064,10
DST-00037,10
RET-00140,10
DST-00030,10
MFG-00062,10
MFG-00011,10
MFG-00015,10
WHS-00040,10
DST-00164,10
SUP-00209,10
MFG-00033,10
MFG-00109,10
SUP-00200,10
WHS-00007,10
RET-00099,10
WHS-00100,10
RET-00093,10
MFG-00066,10
MFG-00056,10
DST-00077,10
SUP-00188,10
MFG-00080,10
DST-00043,10
SUP-00041,10
SUP-00065,10
RET-00113,10
DST-00071,10
RET-00127,10
WHS-00006,10
RET-00076,10
DST-00046,10
RET-00069,10
DST-00147,10
DST-00108,10
WHS-00046,10
DST-00086,10
DST-00198,10
DST-00022,10
SUP-00063,10
SUP-00139,10
DST-00049,10
MFG-00092,10
WHS-00025,10
MFG-00119,10
MFG-00079,10
DST-00040,10
RET-00031,10
SUP-00028,10
MFG-00045,10
DST-00087,10
RET-00055,10
MFG-00051,10
DST-00095,10
RET-00047,10
WHS-00085,10
MFG-00006,10
WHS-00059,10
RET-00058,10
SUP-00250,10
WHS-00015,10
MFG-00131,10
MFG-00007,10
LOG-00050,10
DST-00065,10
SUP-00205,10
SUP-00004,10
MFG-00034,10
SUP-00193,10
RET-00114,10
SUP-00232,10
SUP-00032,10
DST-00126,10
DST-00032,10
RET-00145,10
SUP-00098,10
DST-00016,10
WHS-00082,10
RET-00067,10
DST-00070,10
MFG-00024,10
MFG-00099,10
RET-00045,10
RET-00142,10
SUP-00083,10
SUP-00078,10
SUP-00201,10
SUP-00033,10
SUP-00048,10
MFG-00107,10
DST-00124,10
WHS-00078,10
LOG-00055,10
WHS-00034,10
WHS-00076,10
DST-00097,10
WHS-00089,10
SUP-00082,10
DST-00154,10
DST-00074,10
RET-00051,10
DST-00041,10
MFG-00082,10
MFG-00081,10
RET-00019,10
MFG-00058,10
SUP-00267,10
MFG-00063,10
DST-00015,10
DST-00052,10
LOG-00047,10
RET-00097,10
RET-00101,10
SUP-00228,10
MFG-00150,10
MFG-00060,10
WHS-00068,10
SUP-00291,10
DST-00138,10
DST-00193,10
MFG-00098,10
MFG-00093,10
RET-00039,10
DST-00011,10
WHS-00041,10
DST-00145,10
DST-00118,10
RET-00085,10
DST-00127,10
MFG-00035,10
RET-00100,10
MFG-00123,10
DST-00033,10
MFG-00141,10
DST-00092,10
SUP-00156,10
MFG-00129,10
RET-00086,10
DST-00019,10
MFG-00043,10
DST-00057,10
DST-00179,10
MFG-00003,10
SUP-00080,10
WHS-00079,10
MFG-00053,10
SUP-00229,10
DST-00004,10
MFG-00149,10
WHS-00058,10
DST-00132,10
DST-00081,10
DST-00125,10
WHS-00093,10
SUP-00241,10
SUP-00096,10
WHS-00084,10
RET-00095,10
RET-00008,10
WHS-00005,10
DST-00091,10
SUP-00036,10
DST-00075,10
SUP-00160,10
SUP-00173,10
MFG-00105,10
DST-00028,10
DST-00083,10
RET-00023,10
DST-00098,10
WHS-00057,10
MFG-00017,10
DST-00180,10
WHS-00073,10
MFG-00012,10
WHS-00054,10
WHS-00062,10
DST-00036,10
MFG-00125,10
MFG-00001,10
SUP-00292,10
SUP-00070,10
RET-00046,10
RET-00090,10
RET-00054,10
DST-00103,10
MFG-00121,10
MFG-00095,10
SUP-00126,10
SUP-00007,10
WHS-00056,10
RET-00003,10
MFG-00089,10
SUP-00194,10
SUP-00029,10
SUP-00165,10
DST-00001,10
SUP-00136,10
DST-00131,10
MFG-00124,10
WHS-00049,10
SUP-00243,10
DST-00128,10
RET-00108,10
DST-00107,10
DST-00196,10
RET-00006,10
RET-00056,10
RET-00079,10
RET-00138,10
DST-00190,10
SUP-00133,10
SUP-00074,10
DST-00029,10
WHS-00096,10
DST-00056,10
MFG-00048,10
DST-00023,10
RET-00104,10
MFG-00085,10
MFG-00077,10
DST-00178,10
WHS-00095,10
MFG-00059,10
WHS-00060,10
RET-00049,10
RET-00077,10
WHS-00045,10
DST-00169,10
DST-00082,10
DST-00090,10
DST-00018,10
RET-00148,10
MFG-00143,10
MFG-00106,10
DST-00139,10
WHS-00047,10
SUP-00042,10
DST-00034,10
WHS-00066,10
MFG-00148,10
DST-00069,10
WHS-00033,10
WHS-00061,10
SUP-00265,10
RET-00071,10
DST-00067,10
DST-00058,10
MFG-00039,10
RET-00032,10
MFG-00069,10
DST-00007,10
MFG-00055,10
MFG-00061,10
SUP-00286,10
SUP-00273,10
DST-00189,10
SUP-00084,10
MFG-00068,10
MFG-00134,10
DST-00119,10
MFG-00111,10
MFG-00018,10
WHS-00027,10
SUP-00234,10
MFG-00074,10
WHS-00022,10
DST-00158,10
RET-00020,10
WHS-00042,10
DST-00047,10
SUP-00164,10
MFG-00094,10
RET-00024,10
DST-00136,10
WHS-00024,10
WHS-00016,10
DST-00184,10
DST-00133,10
WHS-00004,10
RET-00121,10
DST-00166,10
MFG-00110,10
DST-00076,10
MFG-00118,10
MFG-00091,10
RET-00112,10
DST-00149,10
MFG-00113,10
MFG-00076,10
WHS-00020,10
RET-00036,10
DST-00185,10
MFG-00142,10
DST-00060,10
RET-00123,10
MFG-00087,10
