month,num_nodes,num_edges,density,weakly_connected_components,largest_wcc_fraction,avg_total_degree,global_efficiency,avg_clustering
2024-01,1000,5000,0.005005005005005005,3,0.998,10.0,0.3305391057720079,0.0129309577363618
2024-02,1000,4908,0.004912912912912913,14,0.987,9.816,0.3228089422754184,0.013248125848499423
2024-03,1000,4874,0.004878878878878879,24,0.977,9.748,0.3171412412412437,0.011012861209125847
2024-04,1000,4853,0.004857857857857858,35,0.966,9.706,0.31126463129816206,0.011752477887521701
2024-05,1000,4798,0.004802802802802803,44,0.957,9.596,0.3055936269606513,0.011467497803200569
2024-06,1000,4698,0.004702702702702703,54,0.947,9.396,0.29813126459851447,0.010224672940968583
2024-07,1000,4664,0.004668668668668669,64,0.937,9.328,0.2927359359366907,0.010444263372820499
2024-08,1000,4638,0.004642642642642643,72,0.929,9.276,0.2882668001343703,0.010684164006728402
2024-09,1000,4636,0.004640640640640641,81,0.92,9.272,0.2839954954965243,0.010672347067099245
2024-10,1000,4596,0.0046006006006006,90,0.911,9.192,0.27894337671123787,0.009948728417818676
2024-11,1000,4559,0.0045635635635635635,99,0.902,9.118,0.27416136136270486,0.010323335010447585
2024-12,1000,4548,0.004552552552552553,108,0.893,9.096,0.26982789456270934,0.01086962684161142
2025-01,1000,4552,0.004556556556556557,117,0.884,9.104,0.2656418752101731,0.011711001273574311
2025-02,1000,4525,0.00452952952952953,125,0.876,9.05,0.2617590256940916,0.01131846333201822
2025-03,1000,4500,0.0045045045045045045,134,0.867,9.0,0.2571931931948555,0.011012384969852526
2025-04,1000,4474,0.004478478478478478,143,0.858,8.948,0.25269776443269387,0.011032688482751607
2025-05,1000,4423,0.004427427427427427,153,0.848,8.846,0.24722328995812792,0.010712181277575538
2025-06,1000,4417,0.004421421421421421,161,0.84,8.834,0.24354260927738422,0.010638328072992025
2025-07,1000,4417,0.004421421421421421,169,0.832,8.834,0.24012582582722494,0.010833731183096025
2025-08,1000,4407,0.0044114114114114115,176,0.825,8.814,0.2370248915595742,0.011631732064446176
2025-09,1000,4366,0.00437037037037037,183,0.818,8.732,0.233273973975263,0.011765705244927368
2025-10,1000,4338,0.004342342342342343,191,0.81,8.676,0.22930694027482917,0.011928770247133806
2025-11,1000,4337,0.004341341341341342,199,0.802,8.674,0.2259219886564941,0.012116720175416961
2025-12,1000,4312,0.004316316316316317,207,0.794,8.624,0.2220786453130873,0.012003456106345747
