node,in_degree,out_degree,total_degree,betweenness,pagerank,closeness,eigenvector
MFG-00131,19,55,74,0.0191710921815594,0.0008466037001889,0.242457695139622,0.0120300872581621
WHS-00012,26,15,41,0.0182292149407115,0.0023553030823492,0.2651003637182195,0.052222561602518
WHS-00068,22,19,41,0.0129741348787097,0.0022189006162273,0.2593836526585064,0.0477231076843624
WHS-00026,33,11,44,0.0121388497793711,0.002626420622385,0.2578756081663058,0.0461928633059772
WHS-00086,23,12,35,0.0105370492560728,0.0016705522279247,0.2555540776642685,0.0157788541397266
WHS-00089,23,10,33,0.0101733435391218,0.0019104652668505,0.2677003672854295,0.0522145406429412
WHS-00064,26,12,38,0.0095414368202056,0.0031641223937042,0.2716974248367816,0.0746166235020142
WHS-00076,25,11,36,0.0094048746091078,0.002026147542378,0.2478776366306928,0.0333957555174384
WHS-00020,35,6,41,0.009281148942724,0.0029644716217493,0.2678013862919523,0.0887597711305382
WHS-00075,29,10,39,0.0091333986056182,0.0022993242981191,0.2633297490440348,0.0661508625130553
WHS-00025,34,11,45,0.008876958390114,0.0027715441479261,0.2791792579361423,0.0760296628447095
DST-00147,7,36,43,0.0087978609016866,0.0015979597718115,0.2379060253683116,0.0356951317623311
WHS-00088,30,12,42,0.0082796138176877,0.0019479366073458,0.261293694283385,0.0328279157756397
WHS-00041,23,9,32,0.0082129531066388,0.001989514148141,0.2668949506106332,0.0510364510557729
WHS-00038,30,14,44,0.0079129598137528,0.0022722073899983,0.2673977670209773,0.0530853788369302
WHS-00002,32,8,40,0.0078292556687727,0.0035497280443539,0.2625503787176003,0.0722579687849313
DST-00116,10,35,45,0.0077584016644145,0.00175461341978,0.242540558330032,0.0567693418351109
WHS-00087,27,11,38,0.0077241760278842,0.002248362560258,0.2637211719337323,0.0511717168720911
WHS-00042,22,8,30,0.0076946620636489,0.0017492502494372,0.2371111505759016,0.0190116248693066
MFG-00147,13,16,29,0.0076533246943249,0.0033441962596195,0.2520147988897989,0.0790002646134113
