node,in_degree,out_degree,total_degree,betweenness,pagerank,closeness,eigenvector
RET-00032,23,0,23,0.0,0.003657218861544,0.2859057935240774,0.1284359042597267
RET-00029,23,0,23,0.0,0.0035766092077711,0.2936775325572689,0.1160608026639844
WHS-00002,32,8,40,0.0078292556687727,0.0035497280443539,0.2625503787176003,0.0722579687849313
RET-00006,20,0,20,0.0,0.0033965389417176,0.2858016714987386,0.1282392715463642
MFG-00147,13,16,29,0.0076533246943249,0.0033441962596195,0.2520147988897989,0.0790002646134113
RET-00067,21,0,21,0.0,0.0033193293728065,0.2889359709018523,0.1437674320237159
DST-00057,6,12,18,0.0051606196078462,0.0032113978769585,0.2432055084556798,0.0331091956792182
WHS-00037,29,5,34,0.0049302334749226,0.0032000928403572,0.2781943056345252,0.0879146708731572
WHS-00064,26,12,38,0.0095414368202056,0.0031641223937042,0.2716974248367816,0.0746166235020142
WHS-00095,36,3,39,0.0051659438068128,0.0031352272036068,0.2802818616404714,0.0873465922361995
RET-00039,18,0,18,0.0,0.0031325920138977,0.2819502022831392,0.1044161175579402
WHS-00020,35,6,41,0.009281148942724,0.0029644716217493,0.2678013862919523,0.0887597711305382
DST-00134,9,9,18,0.0028552354029598,0.0029349489907113,0.2492706967592812,0.0522984155403725
RET-00019,21,0,21,0.0,0.0029208688555375,0.2795174633669341,0.1151019632742736
RET-00008,17,0,17,0.0,0.0028075407328655,0.2791838148981005,0.1072675149735232
RET-00030,15,0,15,0.0,0.0027919058769764,0.2763637763637763,0.0639427990079193
WHS-00025,34,11,45,0.008876958390114,0.0027715441479261,0.2791792579361423,0.0760296628447095
WHS-00055,25,7,32,0.0055725135861185,0.0027493543560255,0.2658949695292895,0.0839671196786998
RET-00051,21,0,21,0.0,0.0026918865654244,0.2800663978982911,0.0893701251092962
WHS-00011,24,1,25,0.001437941753694,0.0026858703005232,0.2668949506106332,0.0587597409747435
