node,in_degree,out_degree,total_degree,betweenness,pagerank,closeness,eigenvector
MFG-00131,19,55,74,0.0191710921815594,0.0008466037001889,0.242457695139622,0.0120300872581621
MFG-00028,10,53,63,0.0062595905325689,0.0009822592122833,0.2035198375892382,0.0170236871090737
MFG-00141,4,58,62,0.0010344464025157,0.0005577691901642,0.0053386720053386,1.273604905114304e-46
WHS-00080,37,11,48,0.006492696373334,0.0024509241006422,0.2767838040848961,0.0418535689205428
DST-00116,10,35,45,0.0077584016644145,0.00175461341978,0.242540558330032,0.0567693418351109
WHS-00025,34,11,45,0.008876958390114,0.0027715441479261,0.2791792579361423,0.0760296628447095
WHS-00026,33,11,44,0.0121388497793711,0.002626420622385,0.2578756081663058,0.0461928633059772
WHS-00031,37,7,44,0.0069855121412233,0.0024245314750965,0.2695304495532372,0.0688793033678425
WHS-00038,30,14,44,0.0079129598137528,0.0022722073899983,0.2673977670209773,0.0530853788369302
DST-00147,7,36,43,0.0087978609016866,0.0015979597718115,0.2379060253683116,0.0356951317623311
WHS-00088,30,12,42,0.0082796138176877,0.0019479366073458,0.261293694283385,0.0328279157756397
WHS-00068,22,19,41,0.0129741348787097,0.0022189006162273,0.2593836526585064,0.0477231076843624
WHS-00020,35,6,41,0.009281148942724,0.0029644716217493,0.2678013862919523,0.0887597711305382
WHS-00012,26,15,41,0.0182292149407115,0.0023553030823492,0.2651003637182195,0.052222561602518
WHS-00050,28,13,41,0.0068805855168991,0.002252995531587,0.2597634237458542,0.0486647363225027
WHS-00002,32,8,40,0.0078292556687727,0.0035497280443539,0.2625503787176003,0.0722579687849313
WHS-00095,36,3,39,0.0051659438068128,0.0031352272036068,0.2802818616404714,0.0873465922361995
WHS-00075,29,10,39,0.0091333986056182,0.0022993242981191,0.2633297490440348,0.0661508625130553
WHS-00005,30,8,38,0.0043862652870733,0.0021061226172783,0.2519253367673673,0.050639150380513
MFG-00062,20,18,38,0.0050916153953361,0.0019987757875967,0.2156407394936717,0.0069289496292515
