node,node_type,num_suppliers,top_supplier,top_supplier_type,supplier_dependency_ratio,total_upstream_weight
SUP-00021,supplier,1,LOG-00002,logistics_provider,1.0,56.0
SUP-00093,supplier,1,LOG-00091,logistics_provider,1.0,96.0
SUP-00077,supplier,1,LOG-00084,logistics_provider,1.0,58.0
SUP-00115,supplier,1,LOG-00017,logistics_provider,1.0,47.0
SUP-00297,supplier,1,LOG-00036,logistics_provider,1.0,61.0
SUP-00274,supplier,1,LOG-00002,logistics_provider,1.0,97.0
SUP-00290,supplier,1,LOG-00062,logistics_provider,1.0,52.0
SUP-00068,supplier,1,LOG-00046,logistics_provider,1.0,54.0
SUP-00276,supplier,1,LOG-00049,logistics_provider,1.0,104.0
SUP-00258,supplier,1,LOG-00026,logistics_provider,1.0,2.0
SUP-00270,supplier,1,LOG-00034,logistics_provider,1.0,12.0
SUP-00257,supplier,1,LOG-00050,logistics_provider,1.0,23.0
SUP-00202,supplier,1,LOG-00067,logistics_provider,1.0,88.0
SUP-00118,supplier,1,LOG-00083,logistics_provider,1.0,87.0
SUP-00076,supplier,1,LOG-00029,logistics_provider,1.0,84.0
SUP-00154,supplier,1,LOG-00031,logistics_provider,1.0,61.0
SUP-00249,supplier,1,LOG-00075,logistics_provider,1.0,35.0
SUP-00031,supplier,1,LOG-00005,logistics_provider,1.0,103.0
SUP-00223,supplier,1,LOG-00100,logistics_provider,1.0,73.0
SUP-00180,supplier,1,LOG-00054,logistics_provider,1.0,30.0
SUP-00157,supplier,1,LOG-00084,logistics_provider,1.0,99.0
SUP-00178,supplier,1,LOG-00081,logistics_provider,1.0,102.0
SUP-00153,supplier,1,LOG-00062,logistics_provider,1.0,63.0
SUP-00251,supplier,1,LOG-00031,logistics_provider,1.0,63.0
DST-00182,distributor,1,WHS-00064,warehouse,1.0,24.0
DST-00175,distributor,1,MFG-00114,manufacturer,1.0,39.0
SUP-00235,supplier,1,LOG-00052,logistics_provider,1.0,56.0
SUP-00171,supplier,1,LOG-00012,logistics_provider,1.0,102.0
SUP-00292,supplier,1,LOG-00030,logistics_provider,1.0,96.0
SUP-00182,supplier,1,LOG-00025,logistics_provider,1.0,87.0
SUP-00116,supplier,1,LOG-00031,logistics_provider,1.0,52.0
SUP-00218,supplier,1,LOG-00028,logistics_provider,1.0,76.0
SUP-00260,supplier,1,LOG-00070,logistics_provider,1.0,91.0
SUP-00275,supplier,1,LOG-00001,logistics_provider,1.0,59.0
SUP-00036,supplier,1,LOG-00092,logistics_provider,1.0,90.0
SUP-00017,supplier,1,LOG-00086,logistics_provider,1.0,100.0
SUP-00001,supplier,1,LOG-00016,logistics_provider,1.0,95.0
SUP-00030,supplier,1,LOG-00080,logistics_provider,1.0,58.0
SUP-00200,supplier,1,LOG-00035,logistics_provider,1.0,18.0
DST-00183,distributor,1,MFG-00115,manufacturer,1.0,88.0
SUP-00136,supplier,1,LOG-00019,logistics_provider,1.0,56.0
SUP-00007,supplier,1,LOG-00051,logistics_provider,1.0,6.0
SUP-00299,supplier,1,LOG-00004,logistics_provider,1.0,39.0
SUP-00005,supplier,1,LOG-00026,logistics_provider,1.0,11.0
SUP-00176,supplier,1,LOG-00023,logistics_provider,1.0,32.0
SUP-00246,supplier,1,LOG-00082,logistics_provider,1.0,21.0
SUP-00165,supplier,1,LOG-00087,logistics_provider,1.0,59.0
SUP-00029,supplier,1,LOG-00013,logistics_provider,1.0,118.0
SUP-00025,supplier,1,LOG-00098,logistics_provider,1.0,92.0
SUP-00117,supplier,1,LOG-00059,logistics_provider,1.0,74.0
